date	location	cases
2022-03-24	Illinois	1723
2022-03-25	Illinois	1309
2022-03-26	Illinois	837
2022-03-27	Illinois	837
2022-03-28	Illinois	837
2022-03-29	Illinois	1586
2022-03-30	Illinois	1324
2022-03-31	Illinois	1592
2022-04-01	Illinois	1413
2022-04-02	Illinois	995
2022-04-03	Illinois	995
2022-04-04	Illinois	995
2022-04-05	Illinois	1798
2022-04-06	Illinois	2194
2022-04-07	Illinois	1496
2022-04-08	Illinois	2312
2022-04-09	Illinois	1489
2022-04-10	Illinois	1489
2022-04-11	Illinois	1489
2022-04-12	Illinois	1761
2022-04-13	Illinois	2060
2022-04-14	Illinois	3340
2022-04-15	Illinois	2420
