seqName	clade	Nextclade_pango	partiallyAliased
BA.2.3.15	21L (Omicron)	BA.2.3.15	BA.2.3.15
BA.2.3.16	21L (Omicron)	BA.2.3.16	BA.2.3.16
BA.2.3.17	21L (Omicron)	BA.2.3.17	BA.2.3.17
BA.2.3.18	21L (Omicron)	BA.2.3.18	BA.2.3.18
BA.2.3.19	21L (Omicron)	BA.2.3.19	BA.2.3.19
BA.2.3.20	21L (Omicron)	BA.2.3.20	BA.2.3.20
BA.2.4	21L (Omicron)	BA.2.4	BA.2.4
BA.2.5	21L (Omicron)	BA.2.5	BA.2.5
BA.2.6	21L (Omicron)	BA.2.6	BA.2.6
BA.2.7	21L (Omicron)	BA.2.7	BA.2.7
BA.2.8	21L (Omicron)	BA.2.8	BA.2.8
BA.2.9	21L (Omicron)	BA.2.9	BA.2.9
BA.2.9.1	21L (Omicron)	BA.2.9.1	BA.2.9.1
BA.2.9.2	21L (Omicron)	BA.2.9.2	BA.2.9.2
BA.2.9.3	21L (Omicron)	BA.2.9.3	BA.2.9.3
BA.2.9.4	21L (Omicron)	BA.2.9.4	BA.2.9.4
BA.2.9.5	21L (Omicron)	BA.2.9.5	BA.2.9.5
BA.2.9.6	21L (Omicron)	BA.2.9.6	BA.2.9.6
BA.2.10	21L (Omicron)	BA.2.10	BA.2.10
BA.2.10.1	21L (Omicron)	BA.2.10.1	BA.2.10.1
BA.2.10.2	21L (Omicron)	BA.2.10.2	BA.2.10.2
BA.2.10.3	21L (Omicron)	BA.2.10.3	BA.2.10.3
BA.2.10.4	21L (Omicron)	BA.2.10.4	BA.2.10.4
BA.2.11	21L (Omicron)	BA.2.11	BA.2.11
BA.2.12	21L (Omicron)	BA.2.12	BA.2.12
BA.2.12.1	22C (Omicron)	BA.2.12.1	BA.2.12.1
BA.2.12.2	21L (Omicron)	BA.2.12.2	BA.2.12.2
BA.2.13	21L (Omicron)	BA.2.13	BA.2.13
BA.2.13.1	21L (Omicron)	BA.2.13.1	BA.2.13.1
BA.2.14	21L (Omicron)	BA.2.14	BA.2.14
BA.2.15	21L (Omicron)	BA.2.15	BA.2.15
BA.2.16	21L (Omicron)	BA.2.16	BA.2.16
BA.2.17	21L (Omicron)	BA.2.17	BA.2.17
BA.2.18	21L (Omicron)	BA.2.18	BA.2.18
BA.2.19	21L (Omicron)	BA.2.19	BA.2.19
BA.2.20	21L (Omicron)	BA.2.20	BA.2.20
BA.2.21	21L (Omicron)	BA.2.21	BA.2.21
BA.2.22	21L (Omicron)	BA.2.22	BA.2.22
BA.2.23	21L (Omicron)	BA.2.23	BA.2.23
BA.2.23.1	21L (Omicron)	BA.2.23.1	BA.2.23.1
BA.2.24	21L (Omicron)	BA.2.24	BA.2.24
BA.2.25	21L (Omicron)	BA.2.25	BA.2.25
BA.2.25.1	21L (Omicron)	BA.2.25.1	BA.2.25.1
BA.2.26	21L (Omicron)	BA.2.26	BA.2.26
BA.2.27	21L (Omicron)	BA.2.27	BA.2.27
BA.2.28	21L (Omicron)	BA.2.28	BA.2.28
BA.2.29	21L (Omicron)	BA.2.29	BA.2.29
BA.2.30	21L (Omicron)	BA.2.30	BA.2.30
BA.2.31	21L (Omicron)	BA.2.31	BA.2.31
BA.2.31.1	21L (Omicron)	BA.2.31.1	BA.2.31.1
BA.2.32	21L (Omicron)	BA.2.32	BA.2.32
BA.2.33	21L (Omicron)	BA.2.33	BA.2.33
BA.2.34	21L (Omicron)	BA.2.34	BA.2.34
BA.2.35	21L (Omicron)	BA.2.35	BA.2.35
BA.2.36	21L (Omicron)	BA.2.36	BA.2.36
BA.2.37	21L (Omicron)	BA.2.37	BA.2.37
BA.2.38	21L (Omicron)	BA.2.38	BA.2.38
BA.2.38.1	21L (Omicron)	BA.2.38.1	BA.2.38.1
BA.2.38.2	21L (Omicron)	BA.2.38.2	BA.2.38.2
BA.2.38.3	21L (Omicron)	BA.2.38.3	BA.2.38.3
BA.2.39	21L (Omicron)	BA.2.39	BA.2.39
BA.2.40	21L (Omicron)	BA.2.40	BA.2.40
BA.2.40.1	21L (Omicron)	BA.2.40.1	BA.2.40.1
BA.2.41	21L (Omicron)	BA.2.41	BA.2.41
BA.2.42	21L (Omicron)	BA.2.42	BA.2.42
BA.2.43	21L (Omicron)	BA.2.43	BA.2.43
BA.2.44	21L (Omicron)	BA.2.44	BA.2.44
BA.2.45	21L (Omicron)	BA.2.45	BA.2.45
BA.2.46	21L (Omicron)	BA.2.46	BA.2.46
BA.2.47	21L (Omicron)	BA.2.47	BA.2.47
BA.2.48	21L (Omicron)	BA.2.48	BA.2.48
BA.2.49	21L (Omicron)	BA.2.49	BA.2.49
BA.2.50	21L (Omicron)	BA.2.50	BA.2.50
BA.2.51	21L (Omicron)	BA.2.51	BA.2.51
BA.2.52	21L (Omicron)	BA.2.52	BA.2.52
BA.2.53	21L (Omicron)	BA.2.53	BA.2.53
BA.2.54	21L (Omicron)	BA.2.54	BA.2.54
BA.2.55	21L (Omicron)	BA.2.55	BA.2.55
BA.2.56	21L (Omicron)	BA.2.56	BA.2.56
BA.2.56.1	21L (Omicron)	BA.2.56.1	BA.2.56.1
BA.2.57	21L (Omicron)	BA.2.57	BA.2.57
BA.2.58	21L (Omicron)	BA.2.58	BA.2.58
BA.2.59	21L (Omicron)	BA.2.59	BA.2.59
BA.2.60	21L (Omicron)	BA.2.60	BA.2.60
BA.2.61	21L (Omicron)	BA.2.61	BA.2.61
BA.2.62	21L (Omicron)	BA.2.62	BA.2.62
BA.2.63	21L (Omicron)	BA.2.63	BA.2.63
BA.2.64	21L (Omicron)	BA.2.64	BA.2.64
BA.2.65	21L (Omicron)	BA.2.65	BA.2.65
BA.2.66	21L (Omicron)	BA.2.66	BA.2.66
BA.2.67	21L (Omicron)	BA.2.67	BA.2.67
BA.2.68	21L (Omicron)	BA.2.68	BA.2.68
BA.2.69	21L (Omicron)	BA.2.69	BA.2.69
BA.2.70	21L (Omicron)	BA.2.70	BA.2.70
BA.2.71	21L (Omicron)	BA.2.71	BA.2.71
BA.2.72	21L (Omicron)	BA.2.72	BA.2.72
BA.2.73	21L (Omicron)	BA.2.73	BA.2.73
BA.2.74	21L (Omicron)	BA.2.74	BA.2.74
BA.2.75	22D (Omicron)	BA.2.75	BA.2.75
BA.2.75.1	22D (Omicron)	BA.2.75.1	BA.2.75.1
BA.2.75.2	22D (Omicron)	BA.2.75.2	BA.2.75.2
BA.2.75.3	22D (Omicron)	BA.2.75.3	BA.2.75.3
BA.2.75.4	22D (Omicron)	BA.2.75.4	BA.2.75.4
BA.2.75.5	22D (Omicron)	BA.2.75.5	BA.2.75.5
BA.2.75.6	22D (Omicron)	BA.2.75.6	BA.2.75.6
BA.2.75.7	22D (Omicron)	BA.2.75.7	BA.2.75.7
BA.2.75.8	22D (Omicron)	BA.2.75.8	BA.2.75.8
BA.2.76	21L (Omicron)	BA.2.76	BA.2.76
BA.2.76.1	21L (Omicron)	BA.2.76.1	BA.2.76.1
BA.2.76.2	21L (Omicron)	BA.2.76.2	BA.2.76.2
BA.2.77	21L (Omicron)	BA.2.77	BA.2.77
BA.2.78	21L (Omicron)	BA.2.78	BA.2.78
BA.2.79	21L (Omicron)	BA.2.79	BA.2.79
BA.2.79.1	21L (Omicron)	BA.2.79.1	BA.2.79.1
BA.2.80	21L (Omicron)	BA.2.80	BA.2.80
BA.2.81	21L (Omicron)	BA.2.81	BA.2.81
BA.2.82	21L (Omicron)	BA.2.82	BA.2.82
BA.2.83	21L (Omicron)	BA.2.83	BA.2.83
BA.4	22A (Omicron)	BA.4	BA.4
BA.4.1	22A (Omicron)	BA.4.1	BA.4.1
BA.4.1.1	22A (Omicron)	BA.4.1.1	BA.4.1.1
BA.4.1.2	22A (Omicron)	BA.4.1.2	BA.4.1.2
BA.4.1.3	22A (Omicron)	BA.4.1.3	BA.4.1.3
BA.4.1.4	22A (Omicron)	BA.4.1.4	BA.4.1.4
BA.4.1.5	22A (Omicron)	BA.4.1.5	BA.4.1.5
BA.4.1.6	22A (Omicron)	BA.4.1.6	BA.4.1.6
BA.4.1.7	22A (Omicron)	BA.4.1.7	BA.4.1.7
BA.4.1.8	22A (Omicron)	BA.4.1.8	BA.4.1.8
BA.4.1.9	22A (Omicron)	BA.4.1.9	BA.4.1.9
